price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,manufacturer
19700,2017,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,color_unknown,0,chevrolet
4200,2006,jeep grand cherokee,excellent,6.0,gas,,automatic,SUV,white,1.0,jeep
4877,2012,chevrolet cruze,excellent,4.0,gas,163261.0,automatic,sedan,white,0,chevrolet
3200,2004,bmw x5,excellent,6.0,gas,,automatic,SUV,black,1.0,bmw
5200,2006,toyota highlander,good,,gas,186000.0,automatic,SUV,green,0,toyota
13000,2005,ram 1500,good,8.0,gas,146000.0,automatic,truck,grey,1.0,ram
16999,2013,chevrolet silverado 1500,good,8.0,gas,137230.0,automatic,truck,white,1.0,chevrolet
10499,2017,chevrolet cruze,good,4.0,gas,53601.0,automatic,sedan,black,0,chevrolet
30000,1966,ford mustang,excellent,,gas,51000.0,manual,convertible,red,0,ford
15999,2017,chevrolet cruze,good,4.0,gas,17498.0,automatic,sedan,black,0,chevrolet
12800,0,ford f-150,excellent,6.0,gas,108500.0,automatic,pickup,white,0,ford
14999,2013,chevrolet silverado 3500hd,good,8.0,gas,,automatic,truck,white,1.0,chevrolet
14950,2012,ram 1500,excellent,8.0,gas,114773.0,automatic,truck,grey,1.0,ram
6950,2013,nissan altima,excellent,4.0,gas,158786.0,automatic,sedan,color_unknown,0,nissan
7800,0,ford f-150,like new,8.0,gas,97510.0,automatic,truck,white,1.0,ford
5500,2006,honda accord,good,4.0,gas,,automatic,sedan,silver,0,honda
23300,2018,nissan frontier crew cab sv,good,6.0,gas,27493.0,other,pickup,color_unknown,1.0,nissan
3650,0,subaru impreza,excellent,,gas,74000.0,automatic,sedan,blue,1.0,subaru
1900,1994,jeep grand cherokee laredo,good,6.0,gas,207.0,automatic,SUV,grey,1.0,jeep
9950,2008,toyota 4runner,excellent,6.0,gas,,automatic,SUV,silver,1.0,toyota
6950,2005,chevrolet tahoe,excellent,,gas,186021.0,automatic,SUV,color_unknown,1.0,chevrolet
3000,2010,nissan versa,like new,4.0,gas,200412.0,automatic,hatchback,silver,0,nissan
4200,2012,ford focus,like new,4.0,gas,144273.0,automatic,sedan,silver,0,ford
23800,2019,nissan frontier crew cab sv,good,6.0,gas,10899.0,other,pickup,silver,1.0,nissan
16500,2012,ford f-250 sd,good,8.0,gas,123262.0,automatic,truck,silver,1.0,ford
26900,2014,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,color_unknown,1.0,chevrolet
5900,2000,ford f250 super duty,good,8.0,diesel,202752.0,automatic,pickup,red,0,ford
9950,2014,dodge charger,good,8.0,gas,102878.0,automatic,sedan,white,0,dodge
11950,2008,chevrolet silverado,good,8.0,gas,170000.0,automatic,truck,black,1.0,chevrolet
4995,0,hyundai elantra,like new,4.0,gas,151223.0,automatic,sedan,custom,0,hyundai
4826,2000,gmc yukon,like new,8.0,gas,226111.0,automatic,SUV,grey,1.0,gmc
9599,2011,chevrolet camaro,good,6.0,gas,100680.0,manual,coupe,silver,0,chevrolet
8499,2009,bmw x5,good,,gas,104482.0,automatic,SUV,blue,1.0,bmw
26000,2017,ford mustang gt coupe 2d,good,8.0,gas,,other,coupe,yellow,0,ford
18800,2015,chevrolet camaro lt coupe 2d,good,6.0,gas,33926.0,other,coupe,grey,0,chevrolet
18000,2010,ram 1500,good,8.0,gas,50500.0,automatic,truck,white,1.0,ram
2800,2010,chevrolet colorado,good,5.0,gas,200800.0,automatic,pickup,color_unknown,0,chevrolet
2950,2003,chevrolet silverado,good,8.0,gas,230000.0,automatic,pickup,color_unknown,0,chevrolet
32000,2017,honda pilot,like new,6.0,gas,32104.0,automatic,SUV,white,0,honda
8995,2012,toyota rav4,excellent,4.0,gas,124526.0,automatic,SUV,black,1.0,toyota
9995,2017,hyundai sonata,excellent,4.0,gas,105985.0,automatic,sedan,white,0,hyundai
24600,2013,ford mustang gt coupe 2d,good,8.0,gas,22474.0,other,coupe,white,0,ford
6500,2012,ford fusion se,excellent,6.0,gas,90000.0,automatic,sedan,grey,0,ford
3995,2008,subaru forester,excellent,4.0,gas,165000.0,automatic,SUV,white,1.0,subaru
39950,2018,chevrolet silverado,excellent,8.0,gas,18500.0,automatic,truck,color_unknown,1.0,chevrolet
26000,2015,chevrolet silverado 1500 crew,good,8.0,gas,92281.0,automatic,pickup,white,1.0,chevrolet
18700,2017,nissan frontier crew cab sv,good,6.0,gas,40002.0,other,pickup,white,0,nissan
10800,0,chevrolet colorado,excellent,5.0,gas,114922.0,automatic,truck,red,1.0,chevrolet
5500,2004,ford explorer,good,6.0,gas,140355.0,automatic,SUV,white,1.0,ford
22900,2014,ford f150 supercrew cab xlt,good,6.0,gas,73711.0,automatic,pickup,white,1.0,ford
26700,2015,ford f150 supercrew cab xlt,good,6.0,gas,48278.0,other,pickup,brown,1.0,ford
21500,2019,nissan frontier crew cab sv,good,6.0,gas,16168.0,other,pickup,white,0,nissan
19700,2017,chevrolet camaro lt coupe 2d,good,6.0,gas,35807.0,other,coupe,black,0,chevrolet
24200,2018,chevrolet camaro lt coupe 2d,good,6.0,gas,,other,coupe,grey,0,chevrolet
22800,2013,ford f-350 sd,good,8.0,diesel,207738.0,automatic,truck,brown,1.0,ford
28400,2017,ford mustang gt coupe 2d,good,8.0,gas,6665.0,other,coupe,blue,0,ford
29900,2018,ford mustang gt coupe 2d,good,8.0,gas,3827.0,automatic,coupe,yellow,0,ford
22500,2019,nissan frontier crew cab sv,good,6.0,gas,24209.0,other,pickup,color_unknown,1.0,nissan
24600,2014,chevrolet silverado 1500 crew,good,6.0,gas,85048.0,automatic,pickup,silver,1.0,chevrolet
23700,0,nissan frontier crew cab sv,good,6.0,gas,12901.0,other,pickup,black,1.0,nissan
21900,2018,nissan frontier crew cab sv,good,6.0,gas,27576.0,other,pickup,color_unknown,1.0,nissan
25300,0,chevrolet camaro lt coupe 2d,good,6.0,gas,3568.0,other,coupe,color_unknown,0,chevrolet
4600,2012,nissan versa,good,4.0,gas,146000.0,automatic,sedan,color_unknown,0,nissan
28900,2017,ford f150 supercrew cab xlt,good,6.0,gas,,automatic,pickup,white,1.0,ford
14800,2016,kia sorento,like new,,gas,,automatic,SUV,brown,0,kia
33900,2018,chevrolet silverado 1500 crew,good,8.0,gas,11315.0,other,pickup,white,1.0,chevrolet
4800,2006,honda accord,like new,4.0,gas,195000.0,automatic,sedan,silver,0,honda
4500,2012,chevrolet impala,excellent,6.0,gas,145000.0,automatic,sedan,white,0,chevrolet
21595,2015,chevrolet silverado 1500,excellent,8.0,gas,92634.0,automatic,truck,black,1.0,chevrolet
37000,2018,chevrolet silverado 1500 crew,good,8.0,gas,30465.0,other,pickup,white,1.0,chevrolet
22900,2019,nissan frontier crew cab sv,good,6.0,gas,,other,pickup,blue,1.0,nissan
25900,2012,chevrolet silverado 1500 crew,good,,other,,other,pickup,color_unknown,1.0,chevrolet
10999,2010,ford edge,good,6.0,gas,98193.0,automatic,SUV,blue,1.0,ford
2900,2000,nissan maxima,good,6.0,gas,170000.0,automatic,sedan,green,0,nissan
2700,2005,chevrolet equinox,good,6.0,gas,150352.0,automatic,SUV,silver,0,chevrolet
2900,2000,nissan maxima,good,6.0,gas,,automatic,sedan,green,0,nissan
9500,2009,ford f-250,good,8.0,gas,189490.0,automatic,truck,white,1.0,ford
4900,2011,nissan sentra,good,4.0,gas,116000.0,automatic,sedan,silver,0,nissan
24000,2018,nissan frontier crew cab sv,good,6.0,gas,16295.0,other,pickup,blue,1.0,nissan
18200,2012,nissan frontier crew cab sv,good,6.0,gas,,other,pickup,white,0,nissan
28000,2016,ford mustang gt coupe 2d,good,,gas,,other,coupe,black,0,ford
24700,2015,ford mustang gt coupe 2d,good,8.0,gas,37270.0,other,coupe,black,0,ford
26900,2014,chevrolet silverado 1500 crew,good,8.0,gas,68607.0,automatic,pickup,black,1.0,chevrolet
4500,2013,nissan altima,excellent,,gas,140000.0,automatic,sedan,silver,0,nissan
19500,2014,ford f150,excellent,8.0,gas,116000.0,automatic,truck,grey,1.0,ford
2000,1993,ford f-150,good,8.0,gas,258225.0,automatic,truck,red,0,ford
13995,2010,chevrolet silverado 1500,excellent,8.0,gas,151442.0,automatic,truck,silver,1.0,chevrolet
39990,2015,chevrolet corvette,like new,8.0,gas,17340.0,manual,coupe,color_unknown,0,chevrolet
11995,2012,chevrolet suburban,excellent,8.0,gas,158487.0,automatic,SUV,grey,1.0,chevrolet
8995,0,chevrolet silverado 1500,excellent,8.0,gas,119726.0,automatic,truck,grey,1.0,chevrolet
15995,2013,jeep wrangler,excellent,6.0,gas,138806.0,automatic,SUV,black,1.0,jeep
7995,2012,chevrolet cruze,excellent,4.0,gas,81559.0,automatic,sedan,black,0,chevrolet
28250,2017,chevrolet silverado 1500,excellent,8.0,gas,13808.0,automatic,truck,white,1.0,chevrolet
6995,2004,ford expedition,excellent,8.0,gas,92546.0,automatic,SUV,blue,1.0,ford
13900,2016,dodge grand caravan,excellent,6.0,gas,62711.0,automatic,van,black,0,dodge
28975,2017,chevrolet silverado 1500,excellent,8.0,gas,8354.0,automatic,truck,black,1.0,chevrolet
14995,2011,jeep wrangler,excellent,6.0,gas,118371.0,automatic,SUV,orange,1.0,jeep
25600,2017,ford mustang gt coupe 2d,good,8.0,gas,42957.0,other,coupe,color_unknown,0,ford
12990,2011,ford expedition,good,8.0,gas,124775.0,automatic,SUV,custom,1.0,ford
6300,2010,ford taurus,excellent,6.0,gas,155743.0,automatic,sedan,color_unknown,0,ford
26400,2016,ford mustang gt coupe 2d,good,8.0,gas,16890.0,other,coupe,white,0,ford
17300,2014,chevrolet camaro lt coupe 2d,good,6.0,gas,27915.0,other,coupe,red,0,chevrolet
26700,2017,ford mustang gt coupe 2d,good,8.0,gas,26192.0,other,coupe,black,0,ford
18975,2012,chevrolet silverado 1500,excellent,8.0,gas,24390.0,automatic,truck,white,0,chevrolet
23300,0,nissan frontier crew cab sv,good,,gas,,other,pickup,grey,1.0,nissan
31800,2018,chevrolet silverado 1500 crew,good,8.0,gas,22838.0,automatic,pickup,white,1.0,chevrolet
3995,1999,acura tl,good,6.0,gas,180000.0,automatic,sedan,black,0,acura
18600,2012,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0,ford
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,0,chevrolet
2500,0,toyota camry,good,6.0,gas,150000.0,automatic,sedan,silver,0,toyota
22000,0,ford f350 super duty,good,8.0,diesel,163000.0,automatic,truck,color_unknown,1.0,ford
3995,2001,ford ranger,good,6.0,gas,102000.0,automatic,truck,brown,0,ford
3650,2012,kia soul,excellent,4.0,gas,,automatic,wagon,white,0,kia
7975,2007,gmc sierra,excellent,8.0,gas,228409.0,automatic,truck,white,0,gmc
9950,2008,toyota 4runner,excellent,6.0,gas,207348.0,automatic,SUV,color_unknown,1.0,toyota
3595,2005,chevrolet impala,good,6.0,gas,147667.0,automatic,sedan,red,0,chevrolet
9850,2008,chevrolet silverado 1500,good,8.0,gas,182225.0,automatic,truck,blue,1.0,chevrolet
18600,2012,ford mustang gt coupe 2d,good,8.0,gas,96562.0,other,coupe,red,0,ford
21100,2017,chevrolet camaro lt coupe 2d,good,,gas,24510.0,other,coupe,red,0,chevrolet
5995,2006,ford ranger,good,6.0,gas,148600.0,automatic,truck,silver,1.0,ford
6900,2011,subaru outback,excellent,6.0,gas,135445.0,automatic,SUV,color_unknown,1.0,subaru
8995,2005,ram 1500,good,8.0,gas,,automatic,truck,grey,1.0,ram
31400,2016,chevrolet silverado 1500 crew,good,8.0,gas,15070.0,automatic,pickup,black,1.0,chevrolet
24200,2018,nissan frontier crew cab sv,good,6.0,gas,11034.0,other,pickup,blue,1.0,nissan
10990,2006,chevrolet silverado 1500,good,,gas,93726.0,automatic,truck,white,1.0,chevrolet
15950,2015,honda cr-v,excellent,4.0,gas,,other,SUV,black,1.0,honda
7500,1997,ford mustang,good,8.0,gas,185000.0,manual,coupe,white,0,ford
11950,2003,jeep wrangler,excellent,6.0,gas,97211.0,automatic,SUV,custom,1.0,jeep
16950,2010,jeep wrangler,excellent,6.0,gas,85490.0,other,SUV,red,1.0,jeep
6800,0,honda cr-v,excellent,4.0,gas,186000.0,automatic,SUV,grey,1.0,honda
6500,2009,hyundai santa fe,good,6.0,gas,98000.0,manual,SUV,color_unknown,0,hyundai
3000,0,honda accord,good,6.0,gas,204000.0,automatic,coupe,blue,0,honda
15000,2009,toyota tacoma,excellent,6.0,gas,221000.0,automatic,truck,black,1.0,toyota
52000,2008,ford f350 super duty,good,8.0,diesel,117500.0,automatic,truck,grey,1.0,ford
10950,2011,ford expedition,excellent,8.0,gas,130390.0,automatic,SUV,color_unknown,1.0,ford
23000,2018,honda accord,like new,4.0,gas,15000.0,manual,sedan,color_unknown,0,honda
3950,2009,subaru impreza,excellent,4.0,gas,137882.0,automatic,hatchback,silver,1.0,subaru
5295,2005,ford f-150,good,8.0,gas,225000.0,automatic,pickup,white,1.0,ford
6995,2009,ford ranger,good,4.0,gas,,automatic,pickup,white,0,ford
8999,2013,ford escape,excellent,4.0,gas,122964.0,automatic,wagon,color_unknown,1.0,ford
5999,2012,nissan versa,excellent,4.0,gas,76737.0,automatic,sedan,silver,0,nissan
10997,2014,ford escape,excellent,4.0,gas,,automatic,wagon,color_unknown,1.0,ford
10000,2006,ford f-150,excellent,8.0,gas,181000.0,automatic,truck,silver,1.0,ford
17999,2008,gmc sierra 2500hd,excellent,8.0,diesel,101959.0,automatic,truck,white,1.0,gmc
8499,0,nissan rogue,excellent,4.0,gas,123360.0,automatic,wagon,blue,1.0,nissan
7999,2012,nissan rogue,excellent,4.0,gas,93496.0,automatic,wagon,black,0,nissan
15900,0,ford escape,excellent,4.0,gas,19764.0,automatic,SUV,black,1.0,ford
28200,2012,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,ford
2000,2002,honda civic lx,good,4.0,gas,216875.0,automatic,coupe,red,0,honda
22914,2015,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,bmw
19900,2013,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,ford
34900,2017,ford f-250 sd,excellent,8.0,gas,,automatic,truck,white,1.0,ford
24495,2016,ford explorer,excellent,6.0,gas,50123.0,automatic,SUV,white,1.0,ford
5300,2010,dodge charger,good,8.0,gas,156000.0,automatic,sedan,white,0,dodge
22900,2015,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,custom,1.0,gmc
14685,2011,toyota tacoma,excellent,6.0,gas,145671.0,automatic,truck,black,1.0,toyota
24869,2015,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,gmc
5995,2006,honda odyssey,excellent,6.0,gas,,automatic,van,red,0,honda
4999,2005,toyota camry le,excellent,4.0,gas,105000.0,automatic,sedan,silver,0,toyota
7800,2012,chevrolet traverse,good,6.0,gas,157000.0,automatic,SUV,blue,1.0,chevrolet
12500,2009,cadillac escalade,excellent,8.0,gas,159000.0,automatic,SUV,color_unknown,1.0,cadillac
4975,2007,honda odyssey,excellent,6.0,gas,205000.0,automatic,mini-van,brown,0,honda
2795,2003,volkswagen jetta,good,4.0,gas,178950.0,manual,sedan,color_unknown,0,volkswagen
500,2004,toyota corolla,like new,4.0,gas,,automatic,sedan,blue,0,toyota
2800,2006,ford escape,excellent,6.0,gas,,automatic,SUV,white,0,ford
41800,2018,chevrolet silverado 3500hd,good,8.0,gas,148459.0,automatic,truck,color_unknown,1.0,chevrolet
10800,2015,toyota camry,excellent,4.0,gas,28150.0,automatic,sedan,black,1.0,toyota
2750,2006,honda civic lx,good,4.0,gas,200.0,manual,sedan,black,0,honda
7995,2008,jeep grand cherokee,excellent,6.0,gas,104613.0,automatic,SUV,silver,1.0,jeep
22500,2013,ford f-250 sd,good,8.0,gas,128415.0,automatic,truck,green,1.0,ford
9995,2013,chrysler town & country,excellent,6.0,gas,81999.0,automatic,van,color_unknown,0,chrysler
6995,2005,honda accord,like new,6.0,gas,45429.0,automatic,sedan,grey,0,honda
11795,2015,toyota tacoma,excellent,4.0,gas,111048.0,automatic,truck,white,0,toyota
8795,2014,honda civic,excellent,,gas,85452.0,automatic,sedan,grey,0,honda
6995,2011,hyundai sonata,excellent,4.0,gas,117371.0,automatic,sedan,grey,1.0,hyundai
6795,2013,volkswagen passat,excellent,5.0,gas,119453.0,automatic,sedan,red,0,volkswagen
6795,2012,volkswagen jetta,excellent,5.0,gas,104310.0,automatic,sedan,white,0,volkswagen
7995,2014,chevrolet cruze,excellent,4.0,gas,120052.0,automatic,sedan,blue,0,chevrolet
25800,2015,toyota tacoma,like new,6.0,gas,49900.0,automatic,pickup,white,1.0,toyota
8595,2010,toyota prius,excellent,4.0,gas,99630.0,automatic,hatchback,white,0,toyota
8995,2010,toyota prius,excellent,4.0,gas,74138.0,automatic,hatchback,white,0,toyota
7995,2010,honda accord,excellent,,gas,90880.0,automatic,sedan,grey,0,honda
7100,2004,ford f-150,good,8.0,gas,121000.0,automatic,truck,color_unknown,1.0,ford
6995,2010,jeep liberty,excellent,,gas,105771.0,automatic,SUV,brown,1.0,jeep
4795,2007,nissan altima,excellent,4.0,gas,131020.0,automatic,sedan,grey,0,nissan
6500,2009,ford f-250,good,8.0,gas,113000.0,automatic,pickup,white,1.0,ford
22800,2013,ford f-350 sd,good,8.0,diesel,,automatic,truck,brown,1.0,ford
1500,2001,jeep grand cherokee,good,6.0,gas,185000.0,automatic,SUV,black,1.0,jeep
9799,2017,nissan altima,excellent,4.0,gas,51153.0,automatic,sedan,silver,1.0,nissan
11799,2014,chevrolet camaro,excellent,6.0,gas,50468.0,automatic,coupe,yellow,0,chevrolet
5700,2002,chevrolet silverado 1500,good,8.0,gas,105000.0,automatic,pickup,silver,1.0,chevrolet
3700,2009,nissan rogue,good,4.0,gas,174902.0,automatic,SUV,black,0,nissan
13499,2014,ford f150,good,6.0,gas,,automatic,pickup,color_unknown,1.0,ford
24399,2013,ram 1500,excellent,,gas,97321.0,automatic,pickup,red,1.0,ram
11799,2015,chevrolet camaro,excellent,6.0,gas,26881.0,automatic,coupe,red,0,chevrolet
9299,2016,nissan altima,excellent,4.0,gas,47833.0,automatic,sedan,silver,0,nissan
3750,2007,jeep grand cherokee laredo,fair,6.0,gas,131800.0,automatic,SUV,grey,1.0,jeep
3800,2012,nissan altima,good,4.0,gas,186576.0,automatic,sedan,black,0,nissan
7995,2011,subaru forester,good,4.0,gas,112000.0,automatic,SUV,blue,1.0,subaru
23200,2018,chevrolet camaro lt coupe 2d,good,6.0,gas,7136.0,other,coupe,black,0,chevrolet
5500,1981,chevrolet corvette,fair,8.0,gas,75000.0,automatic,coupe,blue,0,chevrolet
9100,2014,kia sorento,good,4.0,gas,100100.0,automatic,SUV,silver,1.0,kia
8977,2013,kia sorento,excellent,,gas,85415.0,automatic,SUV,silver,0,kia
18675,2015,ram 1500,good,8.0,gas,86115.0,automatic,truck,color_unknown,1.0,ram
8675,2012,buick enclave,good,6.0,gas,,automatic,SUV,brown,0,buick
14975,0,toyota 4runner,good,6.0,gas,,automatic,SUV,silver,0,toyota
20675,2018,ford escape,good,4.0,gas,,automatic,SUV,black,1.0,ford
19675,2008,gmc sierra 2500hd,good,8.0,gas,,automatic,truck,grey,1.0,gmc
14995,0,chevrolet silverado 1500,good,8.0,gas,114587.0,automatic,truck,grey,1.0,chevrolet
13889,2005,gmc sierra 2500hd,good,8.0,gas,95914.0,automatic,truck,custom,1.0,gmc
5000,2011,toyota camry le,excellent,4.0,gas,173000.0,automatic,sedan,white,0,toyota
6100,2013,ford fusion,good,4.0,gas,,automatic,sedan,silver,0,ford
3250,2001,ford f150,fair,8.0,gas,296000.0,automatic,truck,black,1.0,ford
28200,2012,ford f-350 sd,excellent,8.0,diesel,129000.0,automatic,truck,black,1.0,ford
15900,2016,ford escape,excellent,4.0,gas,19764.0,automatic,SUV,color_unknown,1.0,ford
34900,2017,ford f-250 sd,excellent,8.0,gas,,automatic,truck,white,1.0,ford
22914,2015,bmw x5,excellent,6.0,gas,69686.0,automatic,SUV,white,1.0,bmw
22900,2015,gmc sierra 1500,excellent,8.0,gas,85190.0,automatic,truck,color_unknown,1.0,gmc
19900,2013,ford f-150,excellent,6.0,gas,79657.0,automatic,truck,silver,1.0,ford
14685,2011,toyota tacoma,excellent,6.0,gas,,automatic,truck,color_unknown,1.0,toyota
24869,2015,gmc sierra 1500,excellent,8.0,gas,82056.0,automatic,truck,black,1.0,gmc
22399,2011,gmc sierra 2500hd,excellent,8.0,gas,121047.0,automatic,pickup,color_unknown,1.0,gmc
9950,2013,toyota prius,excellent,,hybrid,101200.0,automatic,hatchback,silver,0,toyota
17379,2007,jeep wrangler,excellent,6.0,gas,111921.0,automatic,SUV,color_unknown,1.0,jeep
5999,2012,nissan altima,excellent,4.0,gas,99000.0,automatic,sedan,black,0,nissan
4900,2007,toyota rav4,like new,6.0,gas,,automatic,SUV,blue,0,toyota
3995,2013,chrysler 200,good,4.0,gas,,automatic,sedan,black,0,chrysler
10900,2012,toyota tacoma,excellent,4.0,gas,132000.0,manual,pickup,red,1.0,toyota
6995,2004,toyota tundra,good,,gas,224000.0,automatic,truck,color_unknown,1.0,toyota
3500,2004,toyota camry,fair,4.0,gas,155000.0,automatic,sedan,white,0,toyota
41999,2018,ram 3500,good,6.0,diesel,5127.0,automatic,truck,black,0,ram
35999,2015,ram 2500,good,6.0,diesel,157558.0,automatic,truck,grey,1.0,ram
31999,2011,ram 3500,good,6.0,diesel,148128.0,automatic,truck,color_unknown,1.0,ram
28999,2012,ram 2500,good,6.0,diesel,146875.0,automatic,truck,silver,1.0,ram
32999,2012,ram 3500,good,6.0,diesel,126201.0,automatic,truck,silver,1.0,ram
7800,2010,nissan frontier,excellent,6.0,gas,160266.0,automatic,truck,red,1.0,nissan
14999,2016,honda cr-v,excellent,4.0,gas,32000.0,automatic,SUV,grey,1.0,honda
19999,2015,gmc sierra,excellent,8.0,gas,43000.0,automatic,truck,white,1.0,gmc
4999,2008,chrysler town & country,excellent,6.0,gas,129448.0,automatic,mini-van,white,0,chrysler
3500,2016,honda accord,excellent,,gas,30300.0,automatic,sedan,black,0,honda
15600,2016,subaru outback,excellent,4.0,gas,106700.0,automatic,wagon,black,1.0,subaru
4488,2003,toyota rav4,excellent,4.0,gas,,automatic,SUV,silver,1.0,toyota
14995,2016,toyota rav4,excellent,4.0,gas,,automatic,SUV,black,0,toyota
2500,2016,honda civic,excellent,4.0,gas,35000.0,automatic,sedan,white,0,honda
